Id,SalePrice
1461,126571
1462,153052
1463,180261
1464,182760
1465,196288
1466,183043
1467,168593
1468,176639
1469,180975
1470,121410
1471,197636
1472,93812
1473,98443
1474,152719
1475,144379
1476,395753
1477,249658
1478,307445
1479,261364
1480,464821
1481,308176
1482,205788
1483,176751
1484,179235
1485,172057
1486,198254
1487,319536
1488,236717
1489,213266
1490,200453
1491,192315
1492,97589
1493,174321
1494,295608
1495,300204
1496,226755
1497,196128
1498,153702
1499,153091
1500,149946
1501,173299
1502,165453
1503,297776
1504,237232
1505,220704
1506,186579
1507,220015
1508,199400
1509,165200
1510,150193
1511,151578
1512,170640
1513,152989
1514,159538
1515,183306
1516,162759
1517,153717
1518,129993
1519,228520
1520,139096
1521,145836
1522,163206
1523,114886
1524,122148
1525,125985
1526,127907
1527,101133
1528,126697
1529,139445
1530,163541
1531,127054
1532,108122
1533,142408
1534,116331
1535,157289
1536,116142
1537,76263
1538,185773
1539,249506
1540,113459
1541,153195
1542,149734
1543,220413
1544,81275
1545,105434
1546,121552
1547,138417
1548,136981
1549,113557
1550,149144
1551,116424
1552,144752
1553,138712
1554,112943
1555,168290
1556,98533
1557,126172
1558,92940
1559,113765
1560,148767
1561,154546
1562,128401
1563,123995
1564,165240
1565,156870
1566,209785
1567,80927
1568,221405
1569,151461
1570,129796
1571,135756
1572,147438
1573,242359
1574,118875
1575,209417
1576,210275
1577,210285
1578,153387
1579,143793
1580,189989
1581,141642
1582,130207
1583,328920
1584,244049
1585,140343
1586,75791
1587,107284
1588,150909
1589,102478
1590,134267
1591,108010
1592,127364
1593,114905
1594,135980
1595,116539
1596,232775
1597,169077
1598,185412
1599,213896
1600,192937
1601,86111
1602,114072
1603,94060
1604,280201
1605,248794
1606,170807
1607,167432
1608,219171
1609,205239
1610,158675
1611,150732
1612,161929
1613,166105
1614,121283
1615,85892
1616,80223
1617,88145
1618,128352
1619,130166
1620,148267
1621,136345
1622,152057
1623,292928
1624,212283
1625,127988
1626,174316
1627,189269
1628,277112
1629,173680
1630,350942
1631,223089
1632,247261
1633,168748
1634,180751
1635,177789
1636,161810
1637,178385
1638,213542
1639,181067
1640,246758
1641,183541
1642,223900
1643,224637
1644,226500
1645,181864
1646,152953
1647,162677
1648,140012
1649,137016
1650,121291
1651,121921
1652,94793
1653,98608
1654,160149
1655,158464
1656,151060
1657,155217
1658,155457
1659,145058
1660,146697
1661,449018
1662,392466
1663,370122
1664,454269
1665,313500
1666,328189
1667,351239
1668,326176
1669,299659
1670,329339
1671,264749
1672,460341
1673,302443
1674,250450
1675,185658
1676,190161
1677,219144
1678,451281
1679,376529
1680,316112
1681,270230
1682,298939
1683,187171
1684,172156
1685,175366
1686,166735
1687,168781
1688,184824
1689,187434
1690,181477
1691,170002
1692,264092
1693,170692
1694,184616
1695,170123
1696,263581
1697,169720
1698,349989
1699,328192
1700,245096
1701,263002
1702,252263
1703,248733
1704,295353
1705,234401
1706,459012
1707,218930
1708,217977
1709,287709
1710,226302
1711,267174
1712,243692
1713,253509
1714,229264
1715,197486
1716,177092
1717,165577
1718,139949
1719,205779
1720,248236
1721,164895
1722,130943
1723,154077
1724,218140
1725,229763
1726,183816
1727,171389
1728,189190
1729,163090
1730,161800
1731,121729
1732,132765
1733,127003
1734,131847
1735,133730
1736,117275
1737,367648
1738,212108
1739,268509
1740,193109
1741,179448
1742,170142
1743,173223
1744,311318
1745,243637
1746,270828
1747,216384
1748,208435
1749,159265
1750,149673
1751,222160
1752,122826
1753,144561
1754,218842
1755,162711
1756,123300
1757,122929
1758,147256
1759,168571
1760,160721
1761,153684
1762,173984
1763,165845
1764,117363
1765,171038
1766,168793
1767,194639
1768,140474
1769,165133
1770,140540
1771,137109
1772,136556
1773,138684
1774,128711
1775,135652
1776,118801
1777,116701
1778,130451
1779,118607
1780,178217
1781,134205
1782,102811
1783,131143
1784,97144
1785,117219
1786,147833
1787,164790
1788,61779
1789,97320
1790,86963
1791,185216
1792,155506
1793,139626
1794,142291
1795,136715
1796,123304
1797,116783
1798,123831
1799,116314
1800,127401
1801,127724
1802,155071
1803,151338
1804,140281
1805,136291
1806,112522
1807,152035
1808,121060
1809,128176
1810,148285
1811,116941
1812,117013
1813,120565
1814,97749
1815,69224
1816,102536
1817,126797
1818,135829
1819,117780
1820,79293
1821,120654
1822,147532
1823,59668
1824,142991
1825,141946
1826,102826
1827,107596
1828,139747
1829,114417
1830,143861
1831,164479
1832,112418
1833,149476
1834,131696
1835,172757
1836,126014
1837,102419
1838,135832
1839,84406
1840,160854
1841,149399
1842,92831
1843,141545
1844,138016
1845,140201
1846,152131
1847,162100
1848,63799
1849,118903
1850,132022
1851,153977
1852,128652
1853,136729
1854,177872
1855,143744
1856,221731
1857,155711
1858,140709
1859,122774
1860,153976
1861,122601
1862,266362
1863,262309
1864,262309
1865,328774
1866,319370
1867,244186
1868,299635
1869,193742
1870,258634
1871,255295
1872,171884
1873,231060
1874,139263
1875,200685
1876,193578
1877,208760
1878,215561
